"","ID","kmeans","HAC","DT"
"1",1,"No","Yes","Yes"
"2",2,"No","Yes","No"
"3",3,"No","Yes","No"
"4",4,"Yes","No","No"
"5",5,"Yes","Yes","No"
"6",6,"No","Yes","Yes"
"7",7,"No","Yes","No"
"8",8,"No","Yes","Yes"
"9",9,"Yes","No","Yes"
"10",10,"Yes","No","No"
"11",11,"No","Yes","Yes"
"12",12,"No","Yes","No"
"13",13,"Yes","No","No"
"14",14,"No","Yes","Yes"
"15",15,"No","Yes","No"
"16",16,"No","Yes","No"
"17",17,"Yes","Yes","No"
"18",18,"No","Yes","Yes"
"19",19,"Yes","Yes","No"
"20",20,"No","Yes","Yes"
"21",21,"No","Yes","No"
"22",22,"No","Yes","No"
"23",23,"No","Yes","No"
"24",24,"Yes","Yes","Yes"
"25",25,"Yes","Yes","Yes"
"26",26,"Yes","Yes","No"
"27",27,"No","Yes","Yes"
"28",28,"No","Yes","No"
"29",29,"No","Yes","Yes"
"30",30,"No","Yes","No"
"31",31,"No","Yes","Yes"
"32",32,"No","Yes","Yes"
"33",33,"Yes","Yes","Yes"
"34",34,"Yes","Yes","Yes"
"35",35,"No","Yes","No"
"36",36,"Yes","No","No"
"37",37,"No","Yes","Yes"
"38",38,"No","Yes","Yes"
"39",39,"No","Yes","Yes"
"40",40,"No","Yes","No"
"41",41,"No","Yes","Yes"
"42",42,"No","Yes","No"
"43",43,"No","Yes","Yes"
"44",44,"Yes","Yes","Yes"
"45",45,"No","Yes","Yes"
"46",46,"No","Yes","No"
"47",47,"No","Yes","No"
"48",48,"No","Yes","Yes"
"49",49,"Yes","Yes","No"
"50",50,"No","Yes","No"
"51",51,"No","Yes","Yes"
"52",52,"Yes","Yes","Yes"
"53",53,"No","Yes","No"
"54",54,"No","Yes","Yes"
"55",55,"No","Yes","Yes"
"56",56,"No","Yes","Yes"
"57",57,"No","Yes","Yes"
"58",58,"No","No","Yes"
"59",59,"Yes","Yes","No"
"60",60,"No","Yes","Yes"
"61",61,"No","Yes","Yes"
"62",62,"Yes","Yes","Yes"
"63",63,"No","Yes","Yes"
"64",64,"Yes","No","Yes"
"65",65,"No","Yes","No"
"66",66,"Yes","No","No"
"67",67,"Yes","Yes","Yes"
"68",68,"Yes","Yes","Yes"
"69",69,"Yes","Yes","No"
"70",70,"No","Yes","No"
"71",71,"Yes","Yes","No"
"72",72,"Yes","No","No"
"73",73,"No","Yes","No"
"74",74,"No","Yes","Yes"
"75",75,"Yes","Yes","No"
"76",76,"Yes","No","No"
"77",77,"No","Yes","Yes"
"78",78,"No","Yes","No"
"79",79,"No","Yes","Yes"
"80",80,"No","Yes","Yes"
"81",81,"No","Yes","Yes"
"82",82,"No","Yes","Yes"
"83",83,"Yes","No","No"
"84",84,"No","Yes","Yes"
"85",85,"Yes","Yes","No"
"86",86,"No","Yes","Yes"
"87",87,"Yes","Yes","Yes"
"88",88,"Yes","Yes","Yes"
"89",89,"No","Yes","Yes"
"90",90,"No","Yes","No"
"91",91,"No","Yes","Yes"
"92",92,"Yes","Yes","No"
"93",93,"No","Yes","Yes"
"94",94,"No","Yes","No"
"95",95,"Yes","Yes","No"
"96",96,"Yes","No","No"
"97",97,"Yes","Yes","Yes"
"98",98,"No","Yes","Yes"
"99",99,"No","Yes","Yes"
"100",100,"Yes","Yes","Yes"
"101",101,"No","Yes","Yes"
"102",102,"No","Yes","Yes"
"103",103,"Yes","Yes","Yes"
"104",104,"No","Yes","Yes"
"105",105,"Yes","Yes","Yes"
"106",106,"Yes","Yes","Yes"
"107",107,"No","Yes","Yes"
"108",108,"No","Yes","Yes"
"109",109,"Yes","No","No"
"110",110,"No","Yes","Yes"
"111",111,"No","Yes","Yes"
"112",112,"Yes","Yes","Yes"
"113",113,"No","Yes","No"
"114",114,"No","Yes","No"
"115",115,"Yes","Yes","No"
"116",116,"Yes","Yes","No"
"117",117,"Yes","Yes","No"
"118",118,"No","Yes","Yes"
"119",119,"No","Yes","No"
"120",120,"No","Yes","Yes"
"121",121,"Yes","Yes","No"
"122",122,"No","Yes","Yes"
"123",123,"No","Yes","No"
"124",124,"No","Yes","Yes"
"125",125,"No","Yes","Yes"
"126",126,"No","Yes","No"
"127",127,"No","Yes","No"
"128",128,"Yes","Yes","No"
"129",129,"Yes","Yes","No"
"130",130,"Yes","Yes","No"
"131",131,"No","Yes","No"
"132",132,"No","Yes","Yes"
"133",133,"No","Yes","Yes"
"134",134,"No","Yes","Yes"
"135",135,"No","Yes","Yes"
"136",136,"No","Yes","Yes"
"137",137,"Yes","Yes","No"
"138",138,"Yes","Yes","No"
"139",139,"No","Yes","No"
"140",140,"Yes","Yes","No"
"141",141,"Yes","Yes","No"
"142",142,"Yes","Yes","No"
"143",143,"Yes","No","No"
"144",144,"No","Yes","Yes"
"145",145,"No","Yes","No"
"146",146,"Yes","No","No"
"147",147,"Yes","Yes","No"
"148",148,"No","Yes","No"
"149",149,"No","Yes","Yes"
"150",150,"No","Yes","Yes"
"151",151,"No","Yes","Yes"
"152",152,"No","Yes","No"
"153",153,"No","Yes","Yes"
"154",154,"No","Yes","Yes"
"155",155,"No","Yes","Yes"
"156",156,"No","Yes","No"
"157",157,"No","Yes","Yes"
"158",158,"Yes","Yes","No"
"159",159,"No","Yes","Yes"
"160",160,"Yes","No","Yes"
"161",161,"No","Yes","No"
"162",162,"No","Yes","No"
"163",163,"Yes","Yes","Yes"
"164",164,"Yes","Yes","No"
"165",165,"No","Yes","Yes"
"166",166,"No","Yes","No"
"167",167,"No","Yes","Yes"
"168",168,"Yes","Yes","Yes"
"169",169,"Yes","Yes","Yes"
"170",170,"No","Yes","No"
"171",171,"No","Yes","Yes"
"172",172,"No","Yes","No"
"173",173,"No","Yes","No"
"174",174,"No","Yes","No"
"175",175,"Yes","Yes","Yes"
"176",176,"Yes","Yes","No"
"177",177,"Yes","Yes","No"
"178",178,"No","Yes","Yes"
"179",179,"No","Yes","No"
"180",180,"Yes","Yes","Yes"
"181",181,"Yes","No","No"
"182",182,"No","Yes","Yes"
"183",183,"No","Yes","Yes"
"184",184,"Yes","Yes","Yes"
"185",185,"Yes","No","No"
"186",186,"No","Yes","Yes"
"187",187,"No","Yes","Yes"
"188",188,"Yes","Yes","Yes"
"189",189,"Yes","Yes","Yes"
"190",190,"No","Yes","No"
"191",191,"No","Yes","No"
"192",192,"No","Yes","Yes"
"193",193,"No","Yes","Yes"
"194",194,"No","Yes","Yes"
"195",195,"No","Yes","Yes"
"196",196,"Yes","Yes","No"
"197",197,"No","Yes","Yes"
"198",198,"Yes","Yes","No"
"199",199,"Yes","No","No"
"200",200,"No","Yes","No"
"201",201,"Yes","Yes","Yes"
"202",202,"No","Yes","No"
"203",203,"No","Yes","No"
"204",204,"No","Yes","No"
"205",205,"No","Yes","Yes"
"206",206,"No","Yes","Yes"
"207",207,"No","Yes","Yes"
"208",208,"Yes","Yes","No"
"209",209,"No","Yes","Yes"
"210",210,"Yes","No","No"
"211",211,"No","Yes","Yes"
"212",212,"No","Yes","Yes"
"213",213,"No","Yes","Yes"
"214",214,"Yes","Yes","Yes"
"215",215,"No","Yes","Yes"
"216",216,"Yes","Yes","No"
"217",217,"No","Yes","Yes"
"218",218,"Yes","No","No"
"219",219,"No","Yes","No"
"220",220,"No","Yes","Yes"
"221",221,"No","Yes","No"
"222",222,"No","Yes","Yes"
"223",223,"No","Yes","Yes"
"224",224,"No","Yes","Yes"
"225",225,"No","Yes","No"
"226",226,"No","Yes","No"
"227",227,"Yes","Yes","Yes"
"228",228,"No","Yes","No"
"229",229,"No","Yes","No"
"230",230,"No","Yes","No"
"231",231,"No","Yes","No"
"232",232,"Yes","Yes","Yes"
"233",233,"Yes","Yes","No"
"234",234,"No","Yes","Yes"
"235",235,"No","Yes","No"
"236",236,"No","Yes","Yes"
"237",237,"Yes","Yes","No"
"238",238,"Yes","Yes","Yes"
"239",239,"No","Yes","Yes"
"240",240,"Yes","Yes","No"
"241",241,"No","Yes","Yes"
"242",242,"No","Yes","Yes"
"243",243,"Yes","Yes","Yes"
"244",244,"Yes","Yes","Yes"
"245",245,"No","Yes","Yes"
"246",246,"Yes","No","No"
"247",247,"No","Yes","Yes"
"248",248,"Yes","No","No"
"249",249,"No","Yes","No"
"250",250,"No","Yes","Yes"
"251",251,"No","Yes","No"
"252",252,"Yes","Yes","Yes"
"253",253,"Yes","Yes","No"
"254",254,"Yes","Yes","No"
"255",255,"Yes","Yes","Yes"
"256",256,"No","Yes","No"
"257",257,"No","Yes","No"
"258",258,"No","Yes","No"
"259",259,"No","No","Yes"
"260",260,"Yes","Yes","No"
"261",261,"No","Yes","No"
"262",262,"No","Yes","Yes"
"263",263,"No","Yes","No"
"264",264,"Yes","No","No"
"265",265,"No","Yes","Yes"
"266",266,"Yes","Yes","Yes"
"267",267,"No","Yes","No"
"268",268,"Yes","No","No"
"269",269,"No","Yes","Yes"
"270",270,"No","Yes","Yes"
"271",271,"No","Yes","Yes"
"272",272,"No","Yes","Yes"
"273",273,"Yes","Yes","Yes"
"274",274,"No","Yes","Yes"
"275",275,"No","Yes","Yes"
"276",276,"No","Yes","Yes"
"277",277,"Yes","Yes","Yes"
"278",278,"No","Yes","Yes"
"279",279,"No","Yes","No"
"280",280,"No","Yes","Yes"
"281",281,"Yes","No","Yes"
"282",282,"Yes","Yes","No"
"283",283,"No","Yes","No"
"284",284,"Yes","Yes","Yes"
"285",285,"No","Yes","Yes"
"286",286,"No","Yes","Yes"
"287",287,"Yes","Yes","No"
"288",288,"No","Yes","Yes"
"289",289,"Yes","No","No"
"290",290,"Yes","Yes","No"
"291",291,"No","Yes","Yes"
"292",292,"No","Yes","Yes"
"293",293,"No","Yes","Yes"
"294",294,"No","Yes","No"
"295",295,"Yes","Yes","No"
"296",296,"No","Yes","Yes"
"297",297,"No","Yes","No"
"298",298,"Yes","Yes","No"
"299",299,"No","Yes","Yes"
"300",300,"Yes","Yes","No"
"301",301,"No","Yes","Yes"
"302",302,"Yes","No","No"
"303",303,"Yes","Yes","Yes"
"304",304,"Yes","Yes","Yes"
"305",305,"No","Yes","Yes"
"306",306,"No","Yes","Yes"
"307",307,"Yes","Yes","No"
"308",308,"No","Yes","No"
"309",309,"No","Yes","No"
"310",310,"No","Yes","Yes"
"311",311,"No","Yes","Yes"
"312",312,"Yes","No","Yes"
"313",313,"No","Yes","Yes"
"314",314,"No","Yes","No"
"315",315,"No","Yes","Yes"
"316",316,"No","No","Yes"
"317",317,"No","Yes","Yes"
"318",318,"Yes","Yes","No"
"319",319,"No","Yes","Yes"
"320",320,"No","Yes","No"
"321",321,"Yes","No","No"
"322",322,"Yes","Yes","No"
"323",323,"Yes","No","No"
"324",324,"Yes","No","No"
"325",325,"No","Yes","Yes"
"326",326,"Yes","Yes","Yes"
"327",327,"No","Yes","Yes"
"328",328,"Yes","Yes","No"
"329",329,"No","Yes","Yes"
"330",330,"No","Yes","Yes"
"331",331,"No","Yes","No"
"332",332,"Yes","Yes","Yes"
"333",333,"No","Yes","Yes"
"334",334,"Yes","No","Yes"
"335",335,"No","Yes","No"
"336",336,"No","Yes","Yes"
"337",337,"No","Yes","No"
"338",338,"Yes","Yes","Yes"
"339",339,"Yes","Yes","No"
"340",340,"No","Yes","No"
"341",341,"No","Yes","Yes"
"342",342,"Yes","Yes","No"
"343",343,"No","Yes","No"
"344",344,"No","Yes","Yes"
"345",345,"No","Yes","Yes"
"346",346,"Yes","No","No"
"347",347,"No","Yes","No"
"348",348,"No","Yes","No"
"349",349,"No","Yes","No"
"350",350,"No","Yes","No"
"351",351,"Yes","No","No"
"352",352,"No","Yes","Yes"
"353",353,"Yes","Yes","No"
"354",354,"No","Yes","Yes"
"355",355,"Yes","Yes","No"
"356",356,"No","No","Yes"
"357",357,"Yes","Yes","Yes"
"358",358,"No","Yes","Yes"
"359",359,"No","Yes","No"
"360",360,"No","Yes","Yes"
"361",361,"Yes","No","No"
"362",362,"Yes","No","No"
"363",363,"Yes","Yes","Yes"
"364",364,"No","Yes","No"
"365",365,"No","Yes","Yes"
"366",366,"Yes","Yes","No"
"367",367,"No","Yes","Yes"
"368",368,"Yes","Yes","Yes"
"369",369,"No","Yes","No"
"370",370,"No","Yes","Yes"
"371",371,"Yes","Yes","Yes"
"372",372,"Yes","No","No"
"373",373,"Yes","No","No"
"374",374,"Yes","No","No"
"375",375,"No","Yes","Yes"
"376",376,"Yes","Yes","No"
"377",377,"No","Yes","No"
"378",378,"Yes","Yes","Yes"
